#Transcript_ID	GFF_annotation	HHPred_annotation
Smp_000020.1	Beta-N-acetylglucosaminidase	Protein O-GlcNAcase (E.C.3.2.1.169)
Smp_007960.2	Glyoxalase/fosfomycin resistance/dioxygenase domain	4-hydroxyphenylpyruvate dioxygenase, HppD {Streptomyces avermitilis [TaxId: 33903]}
Smp_007960.3	4-hydroxyphenylpyruvate dioxygenase	4-hydroxyphenylpyruvate dioxygenase, HppD {Streptomyces avermitilis [TaxId: 33903]}
Smp_007970.1	Ribosome maturation protein Sdo1/SBDS	RIBOSOME MATURATION PROTEIN SDO1 HOMOLOG
Smp_008070.1	Thioredoxin	Thioredoxin {Human (Homo sapiens) [TaxId: 9606]}
Smp_008120.1	Mediator complex, subunit Med6	Mediator of RNA polymerase II
Smp_008140.1	RNA-binding domain superfamily	U3 small nucleolar RNA-associated protein
Smp_008220.1	Palmitoyltransferase, DHHC domain	Palmitoyltransferase (E.C.2.3.1.225)
Smp_008230.1	Small GTPase	di-Ras2 {Human (Homo sapiens) [TaxId: 9606]}
Smp_008260.1	Protein kinase domain	Glycogen synthase kinase-3 beta (Gsk3b) {Human (Homo sapiens) [TaxId: 9606]}
Smp_008290.1	TRAPP II complex, Trs120	Complex, TRANSPORT PROTEIN
Smp_008310.1	Succinate dehydrogenase/fumarate reductase type B, transmembrane subunit	RHODOQUINOL-FUMARATE REDUCTASE FP SUBUNIT, RHODOQUINOL-FUMARATE
Smp_008320.1	Inositol monophosphatase-like	Inositol polyphosphate 1-phosphatase {Cow (Bos taurus), brain [TaxId: 9913]}
Smp_008360.1	Adenosine kinase	Adenosine kinase {Human (Homo sapiens) [TaxId: 9606]}
Smp_008400.1	Adenosine kinase	Adenosine kinase {Human (Homo sapiens) [TaxId: 9606]}
Smp_008430.1	NA	Protease Do (DegP, HtrA), C-terminal domains {Escherichia coli [TaxId: 562]}
Smp_008440.1	DNA-directed RNA polymerase subunit RPABC5/Rpb10	RNA polymerase subunit RPB10 {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]}
Smp_008450.1	Leucine-rich repeat	ASP-PTR-SER-ASN-PRO-GLY-HIS-HIS-PRO-HYP-ARG-HIS-ASN, Probable LRR receptor-like serine/threonine-protein
Smp_008470.1	CTLH, C-terminal LisH motif	E3 ubiquitin-protein ligase RMD5 (E.C.2.3.2.27)
Smp_008490.1	Glycosyl transferase, family 8	glycosyltransferase, TRANSFERASE
Smp_008500.1	Transcription factor IIS, N-terminal	Transcription factor IWS1
Smp_008545.1	Chaperonin Cpn60/GroEL	60 kDa chaperonin
Smp_008580.1	Nucleotide-sugar transporter	Transporter, glycobiology, sialic acid, 5-methyl
Smp_008610.1	Deoxyribonuclease II	Putative deoxyribonuclease-2 (E.C.3.1.-.-)
Smp_008620.1	Peptidase S54, rhomboid domain	GlpG homolog HI0618 {Haemophilus influenzae [TaxId: 727]}
Smp_008660.1	Villin/Gelsolin	HORSE PLASMA GELSOLIN
Smp_008710.1	Cysteine-rich flanking region, C-terminal	Slit {Fruit fly (Drosophila melanogaster) [TaxId: 7227]}
Smp_008770.1	39S ribosomal protein L42, mitochondrial	39S ribosomal protein L2, mitochondrial
Smp_008830.1	SNF2, N-terminal	Histone H3, Histone H4, Histone
Smp_008850.1	G protein-coupled receptor, rhodopsin-like	Adenosine receptor A2a,Soluble cytochrome b562,Adenosine
Smp_008900.1	W2 domain	Eukaryotic translation initiation factor 4
Smp_009020.1	Zinc finger C2H2-type	Zinc finger protein 297b {Human (Homo sapiens) [TaxId: 9606]}
Smp_009030.1	Ribonucleotide reductase large subunit, C-terminal	Ribonucleoside-diphosphate reductase large chain 1
Smp_009070.1	Zinc finger C2H2-type	Zinc finger protein 297b {Human (Homo sapiens) [TaxId: 9606]}
Smp_009150.1	Beta-ketoacyl synthase	FATTY ACID SYNTHASE ALPHA SUBUNITS
Smp_009230.1	NA	NA
Smp_009250.1	NA	DUF1387 
Smp_009310.1	Hyaluronan/mRNA-binding protein	Ribosome
Smp_009320.1	S-phase kinase-associated protein 1-like	Elongin C {Human (Homo sapiens) [TaxId: 9606]}
Smp_009340.1	K Homology domain	Ribosomal assembly intermediate, RIBOSOME
Smp_009390.1	Prefoldin beta-like	Prefoldin subunit 1, Prefoldin subunit
Smp_009400.1	NA	NA
Smp_009420.1	Tetratricopeptide-like helical domain superfamily	Cysteine rich protein B (HcpB) {Helicobacter pylori [TaxId: 210]}
Smp_009430.1	Short-chain dehydrogenase/reductase SDR	Sepiapterin reductase {Mouse (Mus musculus) [TaxId: 10090]}
Smp_009520.1	Glutamyl/glutaminyl-tRNA synthetase	Glutamyl-tRNA synthetase (GluRS) {Thermus thermophilus [TaxId: 274]}
Smp_009540.1	Filamin/ABP280 repeat	Transcription intermediary factor 1-beta (E.C.2.3.2.27)
Smp_009550.1	DNA mismatch repair protein family, N-terminal	DNA mismatch repair protein MutL {Escherichia coli [TaxId: 562]}
Smp_009560.1	BTB/POZ domain	S-phase kinase-associated protein 1, F-box/LRR-repeat
Smp_009600.1	Protein kinase domain	Aurora-related kinase 1 (aurora-2) {Human (Homo sapiens) [TaxId: 9606]}
Smp_009630.1	Homeobox domain	SIX1_SD 
Smp_009650.1	Peptidase M16, zinc-binding site	Mitochondrial-processing peptidase subunit beta, mitochondrial
Smp_009690.1	Ribosomal protein L10P	Translation, ribosome, 40S, 60S, 80S
Smp_009760.1	14-3-3 protein	zeta isoform {Cow (Bos taurus) [TaxId: 9913]}
Smp_009800.1	Protein kinase domain	Serine/threonine-protein kinase Nek2 {Human (Homo sapiens) [TaxId: 9606]}
Smp_009810.1	Glycosyl transferase, family 14	beta-1,6-N-acetylglucosaminyltransferase (E.C.2.4.1.102)
Smp_009830.1	Translocon-associated protein subunit beta	TRAP_beta 
Smp_009990.1	Receptor L-domain	Insulin-like growth factor 1 receptor
Smp_010090.1	Snf7 family	Charged multivesicular body protein 3
Smp_010100.1	Lipoyl synthase	Lipoyl synthase (E.C.2.8.1.8)
Smp_010110.1	Zinc finger, RING-CH-type	IE1B protein (ORF K3), N-terminal domain {Kaposi's sarcoma-associated herpesvirus, KSHV, HHV8 [TaxId: 37296]}
Smp_010140.1	G-patch domain	Pre-mRNA-splicing factor 8, Pre-mRNA-splicing factor
Smp_010160.1	CS domain	SGS 
Smp_010230.1	G-protein, beta subunit	beta1-subunit of the signal-transducing G protein heterotrimer {Cow (Bos taurus) [TaxId: 9913]}
Smp_010250.1	Dbl homology (DH) domain	Triple functional domain protein TRIO {Human (Homo sapiens) [TaxId: 9606]}
Smp_010260.1	XPA	DNA repair, transcription factor, DNA
Smp_010280.1	Phospholipase/carboxylesterase/thioesterase	Putative serine hydrolase Ydr428c {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]}
Smp_010290.1	Ubiquitin-like domain	Ubiquilin-like protein Ubqlnl {Mouse (Mus musculus) [TaxId: 10090]}
Smp_010370.1	TB2/DP1/HVA22-related protein	TB2_DP1_HVA22 
Smp_010380.1	Isochorismatase-like	Ribonuclease MAR1 {Leishmania donovani [TaxId: 5661]}
Smp_010400.1	Romo1/Mgr2	Romo1 
Smp_010450.1	Cilia- and flagella-associated protein 276	cilia, microtubule, dynein, motility, STRUCTURAL
Smp_010450.2	Cilia- and flagella-associated protein 276	cilia, microtubule, dynein, motility, STRUCTURAL
Smp_010550.1	NA	Sodium/potassium-transporting ATPase alpha chain {Pig (Sus scrofa) [TaxId: 9823]}
Smp_010550.2	NA	NA
Smp_010550.3	NA	NA
Smp_010550.4	NA	Sodium/potassium-transporting ATPase alpha chain {Pig (Sus scrofa) [TaxId: 9823]}
Smp_010620.1	Ester hydrolase C11orf54, Domain of unknown function DUF1907	Hypothetical protein PTD012 {Human (Homo sapiens) [TaxId: 9606]}
Smp_010620.2	Ester hydrolase C11orf54, Domain of unknown function DUF1907	Hypothetical protein PTD012 {Human (Homo sapiens) [TaxId: 9606]}
Smp_010690.1	Actin-related protein 2/3 complex subunit 2	ACTIN-RELATED PROTEIN 2/3 COMPLEX (PROTEINS
Smp_010710.1	NADH	51kDa, Nad2m, Nad3m, Nad6m, Nad1m
Smp_010720.1	ELO family	Elongation of very long chain
Smp_010800.1	RNA cap guanine-N2 methyltransferase	rRNA (Uracil-5-)-methyltransferase RumA, catalytic domain {Escherichia coli [TaxId: 562]}
Smp_010820.1	Peptidylglycine alpha-hydroxylating monooxygenase/peptidyl-hydroxyglycine alpha-amidating lyase	Peptidyl-glycine alpha-amidating monooxygenase (E.C.1.14.17.3,4.3.2.5)
Smp_010930.1	Tetratricopeptide-like helical domain superfamily	Mitochondrial import receptor subunit TOM70
Smp_010940.1	Leucine-rich repeat	Splicesomal U2A' protein {Human (Homo sapiens) [TaxId: 9606]}
Smp_011000.1	Partial AB-hydrolase lipase domain	Gastric lipase {Dog (Canis familiaris) [TaxId: 9615]}
Smp_011010.1	NA	Ribosome, Mitochondria, TRANSLATION
Smp_011030.1	Regulatory factor, effector binding domain superfamily	Heme-binding protein, APOPTOSIS
Smp_011120.1	Peptidase M24	METHIONINE AMINOPEPTIDASE, 3,5,6,8-TETRAMETHYL-N-METHYL PHENANTHROLINIUM
Smp_011150.1	Peptidase T2, asparaginase 2	Taspase1, MLL, Leukemia, Glycosylasparaginase, asparaginase
Smp_011220.1	Guanine nucleotide exchange factor RAB3IL/RAB3IP/Sec2	RAS-RELATED PROTEIN RAB-11A, RAB-3A-INTERACTING PROTEIN
Smp_011230.1	Peptidase C13, legumain	glycosylphosphatidylinositol, transamidase, MEMBRANE PROTEIN
Smp_011270.1	NA	Perilipin 
Smp_011270.2	NA	Perilipin 
Smp_011560.1	Tetraspanin, animals	Tetraspanin 
Smp_011570.1	Ribosomal protein S4e	uL2, uL15, uL3, eL29, uL4
Smp_011640.1	NA	NA
Smp_011660.1	Protein kinase domain	Calmodulin-dependent protein kinase {Rat (Rattus norvegicus) [TaxId: 10116]}
Smp_011660.2	Protein kinase domain	Calmodulin-dependent protein kinase {Rat (Rattus norvegicus) [TaxId: 10116]}
Smp_011660.3	Protein kinase domain	Calmodulin-dependent protein kinase {Rat (Rattus norvegicus) [TaxId: 10116]}
Smp_011680.1	CD36 family	Platelet glycoprotein 4, PfEMP1 variant
Smp_011680.2	CD36 family	Platelet glycoprotein 4, PfEMP1 variant
Smp_011700.1	Protein kinase domain	Tyrosine-protein kinase Itk/Tsk {Human (Homo sapiens) [TaxId: 9606]}
Smp_011710.1	A1 cistron-splicing factor, AAR2	AAR2 
Smp_011720.1	PHF5-like	Pre-mRNA-processing-splicing factor 8, 116 kDa
Smp_011830.1	Modulator of levamisole receptor-1	MOLO1 
Smp_011860.1	Basic leucine zipper domain, Maf-type	Skn-1 {Caenorhabditis elegans [TaxId: 6239]}
Smp_011870.1	NA	NA
Smp_011960.1	Inositol-pentakisphosphate 2-kinase	Inositol-pentakisphosphate 2-kinase (E.C.2.7.1.158)
Smp_011980.1	BSD domain	DNA-directed RNA polymerase II, Transcription
Smp_011990.1	Glycoside hydrolase, family 35	Beta-galactosidase (E.C.3.2.1.23)
Smp_012000.1	Neurotransmitter-gated ion-channel	5-hydroxytryptamine receptor 3A
Smp_012010.1	Fork head domain	Afx (Foxo4) {Human (Homo sapiens) [TaxId: 9606]}
Smp_012030.1	Zinc finger C2H2-type	PR domain zinc finger protein
Smp_012050.1	BolA protein	BolA-like protein 3
Smp_012070.1	Ribosomal RNA-processing protein 15	Rrp15p 
Smp_012110.1	Exoribonuclease, phosphorolytic domain 1	Exosome complex exonuclease 1, ECX1 {Archaeoglobus fulgidus [TaxId: 2234]}
Smp_012150.1	Zinc finger C4H2 domain-containing protein	zf-C4H2 
Smp_012200.1	Zinc finger C2H2-type	Cohesin subunit SA-2, Double-strand-break repair
Smp_012200.2	Zinc finger C2H2-type	PR domain zinc finger protein
Smp_012280.1	Protein CDV3	CDV3 
Smp_012340.1	Small-subunit processome, Utp14	Ribosomal assembly intermediate, RIBOSOME
Smp_012350.1	Cysteine-rich  secretory protein-related	Pathogenesis-related protein 1 (PR1) {Tomato (Lycopersicon esculentum), P14a [TaxId: 4081]}
Smp_012350.2	Cysteine-rich  secretory protein-related	Pathogenesis-related protein 1 (PR1) {Tomato (Lycopersicon esculentum), P14a [TaxId: 4081]}
Smp_012380.1	Potassium channel, voltage-dependent, beta subunit, KCNAB-related	Voltage-dependent K+ channel beta subunit {Rat (Rattus norvegicus) [TaxId: 10116]}
Smp_012400.1	Dual specificity phosphatase, catalytic domain	VH1-related dual-specificity phosphatase, VHR {Human (Homo sapiens) [TaxId: 9606]}
Smp_012410.1	Ribosomal protein S22, mitochondrial	MRP-S22 
Smp_012440.1	Sugar/inositol transporter	Solute carrier family 2, facilitated
Smp_012470.1	AAA  ATPase domain	Proteasome subunit alpha type-1 (E.C.3.4.25.1)
Smp_012480.1	XPG/Rad2 endonuclease	Exonuclease 1/DNA Complex
Smp_012530.1	Transcription initiation Spt4	Transcription elongation factor SPT4, Transcription
Smp_012540.1	rRNA-processing protein Fcf1/Utp23	rRNA-processing protein UTP23
Smp_012570.1	Vang-like protein	Strabismus 
Smp_012580.1	Dbl homology (DH) domain	Rho guanine nucleotide exchange factor
Smp_012580.2	Dbl homology (DH) domain	Rho guanine nucleotide exchange factor
Smp_012670.1	Intraflagellar transport protein 43	IFT43 
Smp_012690.1	Zinc finger C2H2-type	Aart/DNA Complex
Smp_012720.1	WD40 repeat	Coronin-1A
Smp_012740.1	Ankyrin repeat	Myotrophin {Rat (Rattus norvegicus) [TaxId: 10116]}
Smp_012750.1	Ribosomal protein L11/L12	Ribosome
Smp_012750.2	Ribosomal protein L11/L12	Ribosome
Smp_012780.1	Toll/interleukin-1 receptor homology (TIR) domain	NAD(+) hydrolase SARM1 (E.C.3.2.2.6,3.2.2.-)
Smp_012790.1	NA	NA
Smp_012800.1	Barrier- to-autointegration factor, BAF	Barrier-to-autointegration factor, BAF {Human (Homo sapiens) [TaxId: 9606]}
Smp_012810.1	Zinc finger, LIM-type	LIM domain-binding protein 1, LIM/homeobox
Smp_012860.1	tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6	tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6
Smp_012900.1	RNA recognition motif domain	Nuclear ribonucleoprotein A1 (RNP A1, UP1) {Human (Homo sapiens) [TaxId: 9606]}
Smp_012920.1	G protein-coupled receptor, rhodopsin-like	Substance-P receptor,Endolysin (E.C. 3.2.1.17)
Smp_012930.1	CBS domain	METABOLISM, FILAMENT, ALLOSTERY, ADENINE, OXIDOREDUCTASE
Smp_012980.1	Eukaryotic translation initiation factor 3 subunit J	Eukaryotic translation initiation factor 3
Smp_013040.1	Aspartic peptidase A1 family	Pepsin(ogen) {Pig (Sus scrofa) [TaxId: 9823]}
Smp_013050.1	TLDc domain	TLD 
Smp_013060.1	SMAD domain, Dwarfin-type	Smad3 MH2 domain {Human (Homo sapiens) [TaxId: 9606]}
Smp_013070.1	Homeobox domain	Hepatocyte nuclear factor 6 {Mouse (Mus musculus) [TaxId: 10090]}
Smp_013080.1	IQ motif, EF-hand binding site	Membrane fusion ATPase VCP/p97 {Mouse (Mus musculus) [TaxId: 10090]}
Smp_013150.1	Riboflavin kinase domain, bacterial/eukaryotic	Riboflavin kinase {Fission yeast (Schizosaccharomyces pombe) [TaxId: 4896]}
Smp_013200.1	Ribosomal protein L10e	genome decay, microbial parasite, genome
Smp_013210.1	Inositol polyphosphate kinase	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase
Smp_013300.1	Yip1 domain	YIF1 
Smp_013360.1	RNA recognition motif domain	Spliceosomal U1 small nuclear ribonucleoprotein
Smp_013360.2	RNA recognition motif domain	Spliceosomal U1 small nuclear ribonucleoprotein
Smp_013370.1	Tetraspanin, animals	Tetraspanin 
Smp_013440.1	Zinc/iron permease	Zip 
Smp_013460.1	SCAMP	SCAMP 
Smp_013470.1	Ribosomal protein S5	Frameshift, virus, pseudoknot, RIBOSOME
Smp_013520.1	Nuclear cap-binding protein subunit 3	NCBP3 
Smp_013540.1	Tyrosinase copper-binding domain	5,6-dihydroxyindole-2-carboxylic acid oxidase (E.C.1.14.18.-)
Smp_013600.1	Homeobox domain	Homeotic bicoid protein {Fruit fly (Drosophila melanogaster) [TaxId: 7227]}
Smp_013610.1	Protein FAM161A/B	UPF0564 
Smp_013690.1	BRO1 domain	BRO1 domain-containing protein BROX
Smp_013790.1	ATP-dependent RNA helicase DEAD-box, conserved site	S. cerevisiae, pre-A complex, Prp5
Smp_013810.1	NA	Plasmid maintenance system epsilon/zeta, toxin zeta subunit {Streptococcus pyogenes [TaxId: 1314]}
Smp_013815.1	NA	NA
Smp_013840.1	Protein kinase domain	Serine/threonine-protein kinase MARK1 (E.C.2.7.11.1, 2.7.11.26)
Smp_013840.2	Protein kinase domain	Serine/threonine-protein kinase MARK1 (E.C.2.7.11.1, 2.7.11.26)
Smp_013860.1	Glutamate-cysteine ligase catalytic subunit	Glutamate-cysteine ligase (E.C.6.3.2.2)
Smp_013870.1	NA	NA
Smp_013930.1	SAP30-binding protein	HCNGP 
Smp_013950.1	Major facilitator superfamily	Folate_carrier 
Smp_014010.1	Adenylate cyclase-associated CAP	C-terminal domain of adenylylcyclase associated protein {Human (Homo sapiens) [TaxId: 9606]}
Smp_014020.1	CDC50/LEM3 family	Probable phospholipid-transporting ATPase DRS2 (E.C.7.6.2.1)
Smp_014050.1	Kelch-type beta propeller	V(D)J recombination-activating protein 1, V(D)J
Smp_014080.1	LPS-induced tumour necrosis factor alpha factor	zf-LITAF-like 
Smp_014170.1	Protein kinase domain	Cell cycle checkpoint kinase chk1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_014260.1	Glycosyl transferase, family 31	C1GALT1-specific chaperone 1
Smp_014280.1	Glycosyl transferase, family 31	C1GALT1-specific chaperone 1
Smp_014290.1	NA	Piwi, transposon silencing, heterochromatin formation
Smp_014400.1	Enhancer of polycomb-like, N-terminal	Histone acetyltransferase ESA1 (E.C.2.3.1.48), Chromatin
Smp_014400.2	Enhancer of polycomb-like, N-terminal	Histone acetyltransferase ESA1 (E.C.2.3.1.48), Chromatin
Smp_014410.1	Toll/interleukin-1 receptor homology (TIR) domain	deoxyribosyltransferase
Smp_014430.1	Toll/interleukin-1 receptor homology (TIR) domain	Toll-like receptor 1, TLR1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_014570.1	Saposin B type, region 2	Saposin C {Human (Homo sapiens) [TaxId: 9606]}
Smp_014620.1	Initiation factor 2B-related	Translation initiation factor eIF-2B subunit
Smp_014650.1	Ubiquitin-like domain	40S ribosomal protein SA, 40S
Smp_014660.1	Small GTPase	Rab30 {Human (Homo sapiens) [TaxId: 9606]}
Smp_014670.1	Class II aldolase/adducin N-terminal	Class II aldolase/adducin domain protein
Smp_014680.1	Domain of unknown function DUF4201	DUF4201 
Smp_014730.1	Ankyrin repeat-containing domain superfamily	Ankyrin-R {Human (Homo sapiens) [TaxId: 9606]}
Smp_014780.1	Actinin-type actin-binding domain, conserved site	actinin
Smp_014800.1	Prenylated rab acceptor PRA1	PRA1 
Smp_014800.2	Prenylated rab acceptor PRA1	PRA1 
Smp_014840.1	WW domain	Ubiquitin ligase NEDD4 WWIII domain {fruit fly (Drosophila melanogaster) [TaxId: 7227]}
Smp_014850.1	SH2 domain	Tyrosine phoshatase shp-2 {Human (Homo sapiens) [TaxId: 9606]}
Smp_015020.1	P-type ATPase	Na, K-ATPase alpha subunit, Na+,K+-ATPase
Smp_015050.1	Protein kinase-like domain superfamily	Choline kinase {Caenorhabditis elegans [TaxId: 6239]}
Smp_015090.1	WD40 repeat	Coatomer beta'-subunit, Coatomer subunit alpha
Smp_015100.1	Domain of unknown function DUF5746	DUF5746 
Smp_015160.1	NA	Coatomer subunit alpha, Coatomer subunit
Smp_015220.1	TAFH/NHR1	Transcription initiation factor TFIID subunit
Smp_015220.2	TAFH/NHR1	Transcription initiation factor TFIID subunit
Smp_015390.1	WD40 repeat	beta1-subunit of the signal-transducing G protein heterotrimer {Cow (Bos taurus) [TaxId: 9913]}
Smp_015440.1	Target SNARE coiled-coil homology domain	Syntaxin-1A
Smp_015480.1	Asteroid	Flap endonuclease-1 (Fen-1 nuclease) {Human (Homo sapiens) [TaxId: 9606]}
Smp_015490.1	NA	Dfp1_Him1_M 
Smp_015530.1	NA	NA
Smp_015630.1	Gamma-aminobutyric acid A receptor/Glycine receptor alpha	glycine receptor, ion channel, heteromeric
Smp_015670.1	Myc-type, basic helix-loop-helix (bHLH) domain	DNA-BINDING PROTEIN INHIBITOR ID-2
Smp_015690.1	RNA recognition motif domain	Nuclear and cytoplasmic polyadenylated RNA-binding
Smp_015710.1	Phosphoglycerate/bisphosphoglycerate mutase, active site	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2 (E.C.2.7.1.105,3.1.3.46)
Smp_015720.1	TGS	YchF GTP-binding protein N-terminal domain {Fission yeast (Schizosaccharomyces pombe) [TaxId: 4896]}
Smp_015730.1	NADH dehydrogenase 1, beta subcomplex, subunit 6	Respiratory, Complex, ELECTRON TRANSPORT
Smp_015760.1	SOCS box domain	Suppressor of cytokine signaling 4, SOCS-4 {Human (Homo sapiens) [TaxId: 9606]}
Smp_015780.1	ATPase, AFG1-like	AFG1_ATPase 
Smp_015800.1	Elongator complex protein 4	ELONGATOR COMPLEX PROTEIN 4, ELONGATOR
Smp_015820.1	Pectinacetylesterase/NOTUM	PROTEIN NOTUM HOMOLOG (E.C.3.1.1.1), POLY
Smp_015840.1	Zinc finger C2H2-type	Cohesin subunit SA-2, Double-strand-break repair
Smp_015850.1	Luc7-related	U1 small nuclear ribonucleoprotein 70
Smp_015860.1	Acyl carrier protein (ACP)	Acyl carrier protein {Escherichia coli [TaxId: 562]}
Smp_015880.1	ECSIT	ECSIT 
Smp_015900.1	Protein Iojap/ribosomal silencing factor RsfS	Iojap-like protein
Smp_015980.1	ATP synthase, F0 complex, subunit E, mitochondrial	ATP-synt_E 
Smp_016050.1	K Homology domain	Fragile X mental retardation protein
Smp_016090.1	F-box domain	SKP1-SKP2 COMPLEX
Smp_016130.1	Tim10-like	Mitochondrial import inner membrane translocase subunit Tim10 {Human (Homo sapiens) [TaxId: 9606]}
Smp_016180.1	Nuclear hormone receptor, ligand-binding domain	Retinoic acid receptor RXR-alpha, Peroxisome
Smp_016200.1	Band 7 domain	Major vault protein
Smp_016250.1	Guanine nucleotide binding protein (G-protein), alpha subunit	G-protein alpha subunit Galpha7
Smp_016340.1	Mediator complex, subunit Med8, fungi/metazoa	Mediator of RNA polymerase II
Smp_016380.1	IQ motif, EF-hand binding site	IQ motif and SEC7 domain-containing
Smp_016410.1	Ran binding domain	cytoplasmic ring, cryo-EM, nuclear pore
Smp_016490.1	Saposin B type domain	SAPOSIN FOLD, ANTIBACTERIAL PEPTIDE, TUMOUROLYTIC
Smp_016510.1	Zinc finger, FYVE/PHD-type	Zinc finger FYVE domain-containing protein
Smp_016540.1	MutL, C-terminal, dimerisation	DNA mismatch repair protein MutL {Escherichia coli [TaxId: 562]}
Smp_016550.1	GTP binding domain	39S ribosomal protein L32, mitochondrial
Smp_016550.2	GTP binding domain	39S ribosomal protein L32, mitochondrial
Smp_016600.1	Sodium	Neutral amino acid transporter B(0)
Smp_016630.1	Guanine nucleotide binding protein (G-protein), alpha subunit	G-protein alpha subunit Galpha7
Smp_016640.1	Histidine phosphatase superfamily, clade-2	Prostatic acid phosphatase {Human (Homo sapiens) [TaxId: 9606]}
