#Transcript_ID	GFF_annotation	HHsearch_annotation
Smp_000020.1	Beta-N-acetylglucosaminidase	Protein O-GlcNAcase (E.C.3.2.1.169,3.2.1.-)
Smp_006680.1	Programmed cell death protein 10	Programmed cell death protein 10
Smp_006680.2	Programmed cell death protein 10	Programmed cell death protein 10
Smp_006690.1	DnaJ domain	Pre-mRNA-splicing factor 8, Pre-mRNA-splicing factor
Smp_006690.2	DnaJ domain	Pre-mRNA-splicing factor 8, Pre-mRNA-splicing factor
Smp_006690.3	DnaJ domain	Pre-mRNA-splicing factor 8, Pre-mRNA-splicing factor
Smp_006700.1	WD40 repeat	Sec13-Sec16 fusion protein
Smp_006700.2	WD40 repeat	Sec13-Sec16 fusion protein
Smp_006710.1	Helix-hairpin-helix motif	Thymine-DNA glycosylase {Archaeon Methanobacterium thermoformicicum [TaxId: 145262]}
Smp_006720.1	Synaptobrevin	Vesicle-associated membrane protein 2, Syntaxin-1A
Smp_006730.1	Frag1/DRAM/Sfk1	Frag1 
Smp_006750.1	Frag1/DRAM/Sfk1	Frag1 
Smp_006750.2	Frag1/DRAM/Sfk1	Frag1 
Smp_006760.1	Frag1/DRAM/Sfk1	Frag1 
Smp_006760.2	Frag1/DRAM/Sfk1	Frag1 
Smp_006780.1	GNAT domain	Human MAK3 homolog
Smp_006810.1	Zinc finger, LIM-type	Fusion protein of Lmo4 protein
Smp_006830.1	SWIB/MDM2 domain	SWI/SNF related regulator of chromatin (BRG1-associated factor 60a) {Mouse (Mus musculus) [TaxId: 10090]}
Smp_006840.1	Transmembrane protein 42	Mg_trans_NIPA 
Smp_006850.1	RNA polymerase, Rpb8	RNA polymerase subunit RBP8 {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]}
Smp_006860.1	PDZ domain	Zasp (Cypher, Oracle 1) {Human (Homo sapiens) [TaxId: 9606]}
Smp_006860.2	PDZ domain	Zasp (Cypher, Oracle 1) {Human (Homo sapiens) [TaxId: 9606]}
Smp_006860.3	PDZ domain	Zasp (Cypher, Oracle 1) {Human (Homo sapiens) [TaxId: 9606]}
Smp_006920.1	Protein kinase domain	HAEMATOPOETIC CELL KINASE HCK, PHOSPHOAMINOPHOSPHONIC
Smp_006930.1	Glycosyl transferase, family 31	Galactosyl_T 
Smp_006930.2	Glycosyl transferase, family 31	Galactosyl_T 
Smp_006980.1	Mediator complex, subunit Med11	Mediator of RNA polymerase II
Smp_007000.1	GINS complex, subunit Psf1	DNA replication complex GINS protein PSF1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_007070.1	G protein-coupled receptor, rhodopsin-like	M3-mT4L, Tiotropium
Smp_007170.1	Armadillo-like helical	Mo25 protein {Human (Homo sapiens) [TaxId: 9606]}
Smp_007180.1	CID domain	Putative RNA-binding protein 16
Smp_007180.2	SWAP/Surp	Splicing factor 4 {Mouse (Mus musculus) [TaxId: 10090]}
Smp_007190.1	Lariat debranching enzyme, C-terminal	DBR1 
Smp_007210.1	Rab-GTPase-TBC domain	Rab GTPase-activating protein 1
Smp_007210.2	Rab-GTPase-TBC domain	Rab GTPase-activating protein 1
Smp_007210.3	Rab-GTPase-TBC domain	Rab GTPase-activating protein 1
Smp_007210.4	Rab-GTPase-TBC domain	Rab GTPase-activating protein 1
Smp_007260.1	P-type ATPase	SARCOPLASMIC/ENDOPLASMIC RETICULUM CALCIUM ATPASE 1
Smp_007270.1	Calponin homology domain	Actin binding domain of plectin {Human (Homo sapiens) [TaxId: 9606]}
Smp_007290.1	Carbohydrate deacetylase YdjC-like	Uncharacterized protein EF3048 {Enterococcus faecalis [TaxId: 1351]}
Smp_007290.2	Carbohydrate deacetylase YdjC-like	Uncharacterized protein EF3048 {Enterococcus faecalis [TaxId: 1351]}
Smp_007290.3	Carbohydrate deacetylase YdjC-like	Uncharacterized protein EF3048 {Enterococcus faecalis [TaxId: 1351]}
Smp_007290.4	NA	UPF0249 protein EF_3048
Smp_007290.5	NA	UPF0249 protein EF_3048
Smp_007300.1	NA	Coiled-coil-helix-coiled-coil-helix domain-containing protein 7
Smp_007330.1	NA	NA
Smp_007330.2	NA	NA
Smp_007380.1	UPF0428 family	DUF2325 
Smp_007450.1	Rhodanese-like domain	Thiosulfate sulfurtransferase/Senescence-associated protein {Thale cress (Arabidopsis thaliana) [TaxId: 3702]}
Smp_007450.2	Rhodanese-like domain	Thiosulfate sulfurtransferase/Senescence-associated protein {Thale cress (Arabidopsis thaliana) [TaxId: 3702]}
Smp_007500.1	Golgi phosphoprotein 3-like	Sac1, Vps74
Smp_007510.1	Protein kinase domain	Cell division protein kinase 7, CDK7 {Human (Homo sapiens) [TaxId: 9606]}
Smp_007540.1	NA	Exosome complex RNA-binding protein 1, ECR1 {Archaeoglobus fulgidus [TaxId: 2234]}
Smp_007540.2	Nucleic acid-binding, OB-fold	Exosome component 1, EXOSC1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_007550.1	Peptidase M1, alanine aminopeptidase/leukotriene A4 hydrolase	MGC78867 protein (E.C.3.3.2.6)
Smp_007570.1	NA	NA
Smp_007630.1	RNA recognition motif domain	RNA binding protein 23 {Human (Homo sapiens) [TaxId: 9606]}
Smp_007630.2	RNA recognition motif domain	RNA binding protein 23 {Human (Homo sapiens) [TaxId: 9606]}
Smp_007650.1	Six-hairpin glycosidase superfamily	Uncharacterized protein
Smp_007660.1	Zinc finger, TFIIS-type	DNA-directed RNA polymerase II subunit
Smp_007660.2	Zinc finger, TFIIS-type	DNA-directed RNA polymerase II subunit
Smp_007670.1	Ankyrin repeat	Ankyrin-R {Human (Homo sapiens) [TaxId: 9606]}
Smp_007690.1	Aromatic amino acid hydroxylase	Tryptophan 5-hydroxylase 1 (E.C.1.14.16.4)
Smp_007710.1	Armadillo-type fold	Serine/threonine-protein kinase mTOR (E.C.2.7.11.1), Target
Smp_007710.2	Armadillo-type fold	Serine/threonine-protein kinase mTOR (E.C.2.7.11.1), Target
Smp_007710.3	NA	YFV helicase domain {Yellow fever virus [TaxId: 11089]}
Smp_007730.1	ER lumen protein retaining receptor	ER lumen protein-retaining receptor 2
Smp_007760.1	Aminotransferase, class I/classII	Alanine aminotransferase 2 (E.C.2.6.1.2)
Smp_007890.1	RNA polymerase subunit RPB4/RPC9	DNA-directed RNA polymerase III subunit
Smp_007900.1	Ribosomal protein L14P	30S ribosomal protein S2, 30S
Smp_007960.1	Glyoxalase/fosfomycin resistance/dioxygenase domain	4-hydroxyphenylpyruvate dioxygenase, HppD {Streptomyces avermitilis [TaxId: 33903]}
Smp_007960.2	Glyoxalase/fosfomycin resistance/dioxygenase domain	4-hydroxyphenylpyruvate dioxygenase, HppD {Streptomyces avermitilis [TaxId: 33903]}
Smp_007960.3	4-hydroxyphenylpyruvate dioxygenase	4-hydroxyphenylpyruvate dioxygenase, HppD {Streptomyces avermitilis [TaxId: 33903]}
Smp_007970.1	Ribosome maturation protein Sdo1/SBDS	60S RIBOSOMAL PROTEIN L3, 60S
Smp_008070.1	Thioredoxin	Thioredoxin {Human (Homo sapiens) [TaxId: 9606]}
Smp_008120.1	Mediator complex, subunit Med6	Mediator complex subunit 14, Mediator
Smp_008140.1	RNA-binding domain superfamily	Periodic tryptophan protein 2-like protein
Smp_008220.1	Palmitoyltransferase, DHHC domain	human DHHC20 palmitoyltransferase (E.C.2.3.1.225)
Smp_008220.2	NA	human DHHC20 palmitoyltransferase (E.C.2.3.1.225)
Smp_008220.3	Palmitoyltransferase, DHHC domain	human DHHC20 palmitoyltransferase (E.C.2.3.1.225)
Smp_008230.1	Small GTPase	di-Ras2 {Human (Homo sapiens) [TaxId: 9606]}
Smp_008260.1	Protein kinase domain	Glycogen synthase kinase-3 beta (Gsk3b) {Human (Homo sapiens) [TaxId: 9606]}
Smp_008290.1	TRAPP II complex, Trs120	TRAPPC9-Trs120 
Smp_008290.2	TRAPP II complex, Trs120	TRAPPC9-Trs120 
Smp_008290.3	TRAPP II complex, Trs120	TRAPPC9-Trs120 
Smp_008310.1	Succinate dehydrogenase/fumarate reductase type B, transmembrane subunit	AVIAN RESPIRATORY COMPLEX II AT
Smp_008320.1	Inositol monophosphatase-like	Inositol polyphosphate 1-phosphatase {Cow (Bos taurus), brain [TaxId: 9913]}
Smp_008360.1	Adenosine kinase	Putative adenosine kinase (E.C.2.7.1.20)
Smp_008400.1	Adenosine kinase	Putative adenosine kinase (E.C.2.7.1.20)
Smp_008430.1	NA	Protease Do (DegP, HtrA), C-terminal domains {Escherichia coli [TaxId: 562]}
Smp_008440.1	DNA-directed RNA polymerase, subunit N/Rpb10	DNA-directed RNA polymerase subunit A'
Smp_008450.1	Leucine-rich repeat	Protein toll, Protein spaetzle C-106
Smp_008470.1	CTLH, C-terminal LisH motif	Vacuolar import and degradation protein
Smp_008490.1	Glycosyl transferase, family 8	GLYCOGENIN-1 (E.C.2.4.1.186)
Smp_008500.1	Transcription factor IIS, N-terminal	Transcription factor IWS1
Smp_008545.1	Chaperonin Cpn60	Putative GroEL-like chaperonine protein
Smp_008580.1	Nucleotide-sugar transporter	Nuc_sug_transp 
Smp_008610.1	Deoxyribonuclease II	DNase_II 
Smp_008620.1	Peptidase S54, rhomboid domain	GlpG homolog HI0618 {Haemophilus influenzae [TaxId: 727]}
Smp_008660.1	Villin/Gelsolin	Actin-binding protein fragmin P
Smp_008660.2	Villin/Gelsolin	Gelsolin
Smp_008660.3	F-box domain	Macrophage capping protein Cap G {Human (Homo sapiens) [TaxId: 9606]}
Smp_008710.1	Cysteine-rich flanking region, C-terminal	Slit {Fruit fly (Drosophila melanogaster) [TaxId: 7227]}
Smp_008770.1	39S ribosomal protein L42, mitochondrial	MRP-S32 
Smp_008830.1	SNF2-related, N-terminal domain	Histone H3, Histone H4, Histone
Smp_008830.2	SNF2-related, N-terminal domain	Histone H3, Histone H4, Histone
Smp_008830.3	SNF2-related, N-terminal domain	Histone H3, Histone H4, Histone
Smp_008850.1	G protein-coupled receptor, rhodopsin-like	Platelet-activating factor receptor,Flavodoxin
Smp_008900.1	W2 domain	Eukaryotic translation initiation factor 4
Smp_008900.2	W2 domain	Eukaryotic translation initiation factor 4
Smp_008900.3	W2 domain	Eukaryotic translation initiation factor 4
Smp_009020.1	Zinc finger C2H2-type	Zinc finger protein 297b {Human (Homo sapiens) [TaxId: 9606]}
Smp_009030.1	Ribonucleotide reductase large subunit, C-terminal	Ribonucleoside-diphosphate reductase large chain 1
Smp_009070.1	Zinc finger C2H2-type	Zinc finger and BTB domain-containing
Smp_009150.1	Beta-ketoacyl synthase	Actinorhodin polyketide putative beta-ketoacyl synthase 1, KasA {Streptomyces coelicolor [TaxId: 1902]}
Smp_009150.2	Beta-ketoacyl synthase	Actinorhodin polyketide putative beta-ketoacyl synthase 1, KasA {Streptomyces coelicolor [TaxId: 1902]}
Smp_009150.3	Beta-ketoacyl synthase	Actinorhodin polyketide putative beta-ketoacyl synthase 1, KasA {Streptomyces coelicolor [TaxId: 1902]}
Smp_009230.1	NA	NA
Smp_009250.1	NA	DUF1387 
Smp_009310.1	Hyaluronan/mRNA-binding protein	Ribosome
Smp_009320.1	S-phase kinase-associated protein 1-like	Elongin C {Human (Homo sapiens) [TaxId: 9606]}
Smp_009340.1	K Homology domain	40S ribosomal protein S1-A, 40S
Smp_009390.1	Prefoldin beta-like	Prefoldin subunit 1, Prefoldin subunit
Smp_009400.1	NA	NA
Smp_009420.1	Tetratricopeptide-like helical domain superfamily	Cysteine rich protein B (HcpB) {Helicobacter pylori [TaxId: 210]}
Smp_009430.1	Short-chain dehydrogenase/reductase SDR	Sepiapterin reductase {Mouse (Mus musculus) [TaxId: 10090]}
Smp_009520.1	Glutamyl/glutaminyl-tRNA synthetase	Glutamyl-tRNA synthetase (GluRS) {Thermus thermophilus [TaxId: 274]}
Smp_009520.2	Glutamyl/glutaminyl-tRNA synthetase	Glutamate tRNA ligase
Smp_009520.3	Glutamyl/glutaminyl-tRNA synthetase	Glutamyl-tRNA synthetase (GluRS) {Thermus thermophilus [TaxId: 274]}
Smp_009540.1	Filamin/ABP280 repeat	Transcription intermediary factor 1-beta (E.C.2.3.2.27)
Smp_009540.2	B-box-type zinc finger	Transcription intermediary factor 1-beta (E.C.2.3.2.27)
Smp_009540.3	Six-bladed beta-propeller, TolB-like	Brain tumor cg10719-pa {Fruit fly (Drosophila melanogaster) [TaxId: 7227]}
Smp_009550.1	DNA mismatch repair protein family, N-terminal	DNA mismatch repair protein MutL {Escherichia coli [TaxId: 562]}
Smp_009550.2	DNA mismatch repair protein,  S5 domain 2-like	Mlh1_C 
Smp_009560.1	Kelch repeat type 1	Kelch-like ECH-associated protein 1, KEAP1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_009560.2	BTB/POZ domain	S-phase kinase-associated protein 1, F-box/LRR-repeat
Smp_009560.3	BTB/POZ domain	S-phase kinase-associated protein 1, F-box/LRR-repeat
Smp_009600.1	Protein kinase domain	Aurora-related kinase 1 (aurora-2) {Human (Homo sapiens) [TaxId: 9606]}
Smp_009630.1	Homeobox domain	SIX1_SD 
Smp_009650.1	Peptidase M16, zinc-binding site	Cytochrome b-c1 complex subunit 1
Smp_009690.1	Ribosomal protein L10P	Ribosome
Smp_009760.1	14-3-3 protein	zeta isoform {Cow (Bos taurus) [TaxId: 9913]}
Smp_009800.1	Protein kinase domain	Serine/threonine-protein kinase Nek2 {Human (Homo sapiens) [TaxId: 9606]}
Smp_009800.2	Protein kinase domain	Serine/threonine-protein kinase Nek2 {Human (Homo sapiens) [TaxId: 9606]}
Smp_009810.1	Glycosyl transferase, family 14	beta-1,6-N-acetylglucosaminyltransferase (E.C.2.4.1.102)
Smp_009810.2	Glycosyl transferase, family 14	beta-1,6-N-acetylglucosaminyltransferase (E.C.2.4.1.102)
Smp_009810.3	NA	beta-1,6-N-acetylglucosaminyltransferase (E.C.2.4.1.102)
Smp_009830.1	Translocon-associated protein subunit beta	TRAP_beta 
Smp_009990.1	Receptor L-domain	Insulin receptor (E.C.2.7.10.1), Insulin
Smp_009990.2	Receptor L-domain	Insulin receptor (E.C.2.7.10.1), Insulin
Smp_009990.3	Receptor L-domain	Insulin receptor (E.C.2.7.10.1), Insulin
Smp_010090.1	Snf7 family	Charged multivesicular body protein 3
Smp_010100.1	Lipoyl synthase	Lipoyl synthase (E.C.2.8.1.8)
Smp_010110.1	Zinc finger, RING-CH-type	IE1B protein (ORF K3), N-terminal domain {Kaposi's sarcoma-associated herpesvirus, KSHV, HHV8 [TaxId: 37296]}
Smp_010140.1	G-patch domain	G-patch 
Smp_010140.2	G-patch domain	G-patch 
Smp_010160.1	CS domain	SGS 
Smp_010230.1	G-protein, beta subunit	beta1-subunit of the signal-transducing G protein heterotrimer {Cow (Bos taurus) [TaxId: 9913]}
Smp_010250.1	Dbl homology (DH) domain	Triple functional domain protein TRIO {Human (Homo sapiens) [TaxId: 9606]}
Smp_010260.1	XPA	General transcription and DNA repair
Smp_010280.1	Phospholipase/carboxylesterase/thioesterase	Putative serine hydrolase Ydr428c {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]}
Smp_010290.1	Ubiquitin domain	Ubiquilin-like protein Ubqlnl {Mouse (Mus musculus) [TaxId: 10090]}
Smp_010370.1	TB2/DP1/HVA22-related protein	TB2_DP1_HVA22 
Smp_010380.1	Isochorismatase-like	Ribonuclease MAR1 {Leishmania donovani [TaxId: 5661]}
Smp_010400.1	Romo1/Mgr2	Romo1 
Smp_010450.1	Protein of unknown function DUF3695	DUF3695 
Smp_010450.2	Protein of unknown function DUF3695	DUF3695 
Smp_010550.1	NA	Sodium/potassium-transporting ATPase alpha chain {Pig (Sus scrofa) [TaxId: 9823]}
Smp_010550.2	NA	NA
Smp_010550.3	NA	NA
Smp_010550.4	NA	Sodium/potassium-transporting ATPase alpha chain {Pig (Sus scrofa) [TaxId: 9823]}
Smp_010620.1	Domain of unknown function DUF1907	Hypothetical protein PTD012 {Human (Homo sapiens) [TaxId: 9606]}
Smp_010620.2	Domain of unknown function DUF1907	Hypothetical protein PTD012 {Human (Homo sapiens) [TaxId: 9606]}
Smp_010620.3	Domain of unknown function DUF1907	Hypothetical protein PTD012 {Human (Homo sapiens) [TaxId: 9606]}
Smp_010620.4	Domain of unknown function DUF1907	Hypothetical protein PTD012 {Human (Homo sapiens) [TaxId: 9606]}
Smp_010620.5	Domain of unknown function DUF1907	Hypothetical protein PTD012 {Human (Homo sapiens) [TaxId: 9606]}
Smp_010690.1	Actin-related protein 2/3 complex subunit 2	ACTIN-LIKE PROTEIN 3  
Smp_010710.1	NADH	NADH-ubiquinone oxidoreductase chain 3 (E.C.7.1.1.2)
Smp_010720.1	ELO family	Elongation of very long chain
Smp_010800.1	RNA cap guanine-N2 methyltransferase	Trimethylguanosine synthase homolog (E.C.2.1.1.-)
Smp_010800.2	NA	NA
Smp_010800.3	RNA cap guanine-N2 methyltransferase	rRNA (Uracil-5-)-methyltransferase RumA, catalytic domain {Escherichia coli [TaxId: 562]}
Smp_010800.4	RNA cap guanine-N2 methyltransferase	rRNA (Uracil-5-)-methyltransferase RumA, catalytic domain {Escherichia coli [TaxId: 562]}
Smp_010800.5	RNA cap guanine-N2 methyltransferase	NA
Smp_010820.1	Peptidylglycine alpha-hydroxylating monooxygenase/peptidyl-hydroxyglycine alpha-amidating lyase	Peptidyl-glycine alpha-amidating monooxygenase (E.C.1.14.17.3,4.3.2.5)
Smp_010930.1	Tetratricopeptide-like helical domain superfamily	O-GlcNAc transferase p110 subunit, OGT {Human (Homo sapiens) [TaxId: 9606]}
Smp_010940.1	Leucine-rich repeat	Splicesomal U2A' protein {Human (Homo sapiens) [TaxId: 9606]}
Smp_010940.2	Leucine-rich repeat	Splicesomal U2A' protein {Human (Homo sapiens) [TaxId: 9606]}
Smp_010940.3	Leucine-rich repeat	Splicesomal U2A' protein {Human (Homo sapiens) [TaxId: 9606]}
Smp_011000.1	Partial AB-hydrolase lipase domain	Gastric lipase {Dog (Canis familiaris) [TaxId: 9615]}
Smp_011010.1	NA	39S ribosomal protein L2, mitochondrial
Smp_011030.1	Regulatory factor, effector binding domain superfamily	Heme-binding protein 2, Programmed cell
Smp_011120.1	Peptidase M24	Methionine aminopeptidase 2 (E.C.3.4.11.18)
Smp_011150.1	Peptidase T2, asparaginase 2	Threonine aspartase 1 (E.C.3.4.25.-)
Smp_011220.1	GDP/GTP exchange factor Sec2, N-terminal	RAS-RELATED PROTEIN RAB-11A, RAB-3A-INTERACTING PROTEIN
Smp_011220.2	GDP/GTP exchange factor Sec2, N-terminal	RAS-RELATED PROTEIN RAB-11A, RAB-3A-INTERACTING PROTEIN
Smp_011230.1	Peptidase C13, legumain	Legumain (E.C.3.4.22.34)
Smp_011230.2	Peptidase C13, legumain	Legumain (E.C.3.4.22.34)
Smp_011230.3	Peptidase C13, legumain	Legumain (E.C.3.4.22.34)
Smp_011270.1	NA	Perilipin 
Smp_011270.2	NA	Perilipin 
Smp_011560.1	Tetraspanin	Tetraspanin 
Smp_011570.1	Ribosomal protein S4e	eL18, uL16, uL5, eL13, uL13
Smp_011640.1	NA	NA
Smp_011640.2	NA	NA
Smp_011640.3	NA	DUF2615 
Smp_011660.1	Protein kinase domain	Calmodulin-dependent protein kinase {Rat (Rattus norvegicus) [TaxId: 10116]}
Smp_011660.2	Protein kinase domain	Calmodulin-dependent protein kinase {Rat (Rattus norvegicus) [TaxId: 10116]}
Smp_011660.3	Protein kinase domain	Calcium/calmodulin-dependent protein kinase type II
Smp_011680.1	CD36 family	Platelet glycoprotein 4, PfEMP1 variant
Smp_011680.2	CD36 family	Platelet glycoprotein 4, PfEMP1 variant
Smp_011700.1	Protein kinase domain	Tyrosine-protein kinase Itk/Tsk {Human (Homo sapiens) [TaxId: 9606]}
Smp_011710.1	A1 cistron-splicing factor, AAR2	AAR2 
Smp_011710.2	A1 cistron-splicing factor, AAR2	AAR2 
Smp_011720.1	PHF5-like	RNA-binding motif protein, X-linked 2
Smp_011830.1	Modulator of levamisole receptor-1	MOLO1 
Smp_011830.2	Modulator of levamisole receptor-1	MOLO1 
Smp_011860.1	Basic leucine zipper domain, Maf-type	Skn-1 {Caenorhabditis elegans [TaxId: 6239]}
Smp_011860.2	NA	Nuclear factor erythroid 2-related factor
Smp_011870.1	NA	NA
Smp_011960.1	Inositol-pentakisphosphate 2-kinase	Inositol-pentakisphosphate 2-kinase (E.C.2.7.1.158)
Smp_011960.2	Inositol-pentakisphosphate 2-kinase	Inositol-pentakisphosphate 2-kinase (E.C.2.7.1.158)
Smp_011960.3	Inositol-pentakisphosphate 2-kinase	Inositol-pentakisphosphate 2-kinase (E.C.2.7.1.158)
Smp_011980.1	BSD domain	General transcription and DNA repair
Smp_011980.2	BSD domain	General transcription and DNA repair
Smp_011990.1	Glycoside hydrolase, family 35	Beta-galactosidase (E.C.3.2.1.23)
Smp_012000.1	Neurotransmitter-gated ion-channel	Acetylcholine receptor subunit alpha, Acetylcholine
Smp_012010.1	Fork head domain	Afx (Foxo4) {Human (Homo sapiens) [TaxId: 9606]}
Smp_012030.1	Zinc finger C2H2-type	Zinc finger protein 568/DNA Complex
Smp_012050.1	BolA protein	BolA-like protein 3
Smp_012070.1	Ribosomal RNA-processing protein 15	Rrp15p 
Smp_012110.1	Exoribonuclease, phosphorolytic domain 1	PROBABLE EXOSOME COMPLEX EXONUCLEASE 2
Smp_012150.1	Zinc finger, C4H2-type	zf-C4H2 
Smp_012150.2	Zinc finger, C4H2-type	zf-C4H2 
Smp_012150.3	Zinc finger, C4H2-type	zf-C4H2 
Smp_012200.1	Zinc finger C2H2-type	Zinc finger protein 568/DNA Complex
Smp_012200.2	Zinc finger C2H2-type	Transcriptional repressor CTCF/DNA Complex
Smp_012280.1	Protein CDV3	CDV3 
Smp_012340.1	Small-subunit processome, Utp14	Utp14 
Smp_012350.1	Cysteine-rich  secretory protein-related	Pathogenesis-related protein 1 (PR1) {Tomato (Lycopersicon esculentum), P14a [TaxId: 4081]}
Smp_012350.2	Cysteine-rich  secretory protein-related	Pathogenesis-related protein 1 (PR1) {Tomato (Lycopersicon esculentum), P14a [TaxId: 4081]}
Smp_012380.1	Potassium channel, voltage-dependent, beta subunit, KCNAB-related	Voltage-dependent K+ channel beta subunit {Rat (Rattus norvegicus) [TaxId: 10116]}
Smp_012400.1	Dual specificity phosphatase, catalytic domain	VH1-related dual-specificity phosphatase, VHR {Human (Homo sapiens) [TaxId: 9606]}
Smp_012410.1	Ribosomal protein S22, mitochondrial	MITORIBOSOMAL PROTEIN US2M, MRPS2, MITORIBOSOMAL
Smp_012440.1	Sugar/inositol transporter	Bovine Fructose Transporter GLUT5
Smp_012470.1	AAA  ATPase domain	Proteasome subunit alpha type-6 (E.C.3.4.25.1)
Smp_012480.1	XPG/Rad2 endonuclease	Exonuclease 1/DNA Complex
Smp_012480.2	XPG/Rad2 endonuclease	Exonuclease 1/DNA Complex
Smp_012480.3	XPG/Rad2 endonuclease	Exonuclease 1/DNA Complex
Smp_012480.4	NA	NA
Smp_012530.1	Transcription initiation Spt4	Transcription elongation factor SPT4, Transcription
Smp_012540.1	rRNA-processing protein Fcf1/Utp23	rRNA-processing protein UTP23
Smp_012570.1	Vang-like protein	Strabismus 
Smp_012580.1	Dbl homology (DH) domain	Protein ECT2
Smp_012580.2	NA	HSM3_C 
Smp_012580.3	Dbl homology (DH) domain	Protein ECT2
Smp_012580.4	NA	NA
Smp_012670.1	Intraflagellar transport protein 43	IFT43 
Smp_012670.2	NA	NA
Smp_012690.1	Zinc finger C2H2-type	Transcriptional repressor CTCF/DNA Complex
Smp_012720.1	WD40 repeat	Coronin WD40-domain and conserved region
Smp_012740.1	Ankyrin repeat	Myotrophin {Rat (Rattus norvegicus) [TaxId: 10116]}
Smp_012740.2	Ankyrin repeat	Myotrophin {Rat (Rattus norvegicus) [TaxId: 10116]}
Smp_012750.1	Ribosomal protein L11/L12	Ribosome
Smp_012780.1	Toll/interleukin-1 receptor homology (TIR) domain	NAD(+) hydrolase SARM1 (E.C.3.2.2.6)
Smp_012790.1	NA	NA
Smp_012800.1	Barrier- to-autointegration factor, BAF	Barrier-to-autointegration factor, BAF {Human (Homo sapiens) [TaxId: 9606]}
Smp_012810.1	Zinc finger, LIM-type	T-CELL ACUTE LYMPHOCYTIC LEUKEMIA PROTEIN
